Eric Mingus,New York
Billy Mitchell,Missouri
Dick McDonough,New York
Dolo Tonight,New York
Henry Olmino,Florida
Grachan Moncur III,New York
Wagon,Missouri
Eddie Miller,Louisiana
Punch Miller,Louisiana
Lanny Morgan,Iowa
Michael Moore,California
Toots Mondello,Massachusetts
Lissie,Illinois
Hochenkeit,Oregon
Hellwell,Kansas
Ángel Casas,Puerto Rico
Kenneth Klein,California
Sam Most,New Jersey
Marty Napoleon,New York
Matt Munisteri,New York
Bang Bang Bang,Tennessee
The Bad Rackets,Texas
Blackhearted Force,Minnesota
Brute Force & Daughter of Force,New York
Big Balls,Texas
The Hurricane Lamps,"Washington, D.C."
Mark Gage,New York
MDragynfly,Georgia
To Cross an Angel,Minnesota
The Angelic Process,Georgia
Keaton Simons,California
William Friedkin,Illinois
A Stick and a Stone,Pennsylvania
Charles Manson,Ohio
Leon Parker,New York
Dick Oatts,Iowa
John Patton,Missouri
Ned Otter,New York
Sy Oliver,Michigan
Kirk Nurock,New Jersey
Bobby Byrne,Ohio
Roy Palmer,Louisiana
Jake Porter,California
Tommy Potter,Pennsylvania
Rich Perry,Ohio
Nat Pierce,Massachusetts
Nat Perrilliat,Louisiana
Ted Poor,New York
Walter Payton,Louisiana
Uriah Duffy,Rhode Island
Eric Person,Missouri
Ben Pollack,Illinois
Avreeayl Ra,Illinois
Robert Armani,Illinois
Kenny Poole,Ohio
"Eugene ""Fats"" Heard",Ohio
Rudy Powell,New York
Wyatt Ruther,Pennsylvania
Boyd Raeburn,South Dakota
Benny Powell,Louisiana
Seldon Powell,Virginia
Ike Quebec,New Jersey
Herb Pomeroy,Massachusetts
Roy Porter,Colorado
Freddie Redd,New York
The Gault,California
Jimmy Rushing,Oklahoma
Herb Robertson,New Jersey
Herlin Riley,Louisiana
Milt Raskin,Massachusetts
Eric Revis,California
Justin Robinson,New York
Willie Ruff,Alabama
Howard Rumsey,California
John Givez,California
David Wilcox,Ohio
Sam Tsui,Pennsylvania
Earth Born,Arizona
Happy Fangs,California
Death Ray Vision,Massachusetts
Zanstones,California
Maria Schneider,Minnesota
Carl Saunders,Indiana
Cecil Scott,Ohio
David Schnitter,New Jersey
Jaleel Shaw,Pennsylvania
Michael Sarin,California
Tarik Shah,New York
Rhoda Scott,New Jersey
Matthew Shipp,Delaware
The Planet The,Oregon
Gene Sedric,Missouri
Alan Shorter,New Jersey
Russell Jacquet,Louisiana
Kenny Baker,Washington
Boyd Senter,Nebraska
Natalie Albino,Puerto Rico
Les Spann,Arkansas
Nicole Albino,Puerto Rico
DJ Dan,Washington
Ronnie Bedford,Connecticut
Tyshawn Sorey,New Jersey
Blaise Siwula,Michigan
Jabbo Smith,Georgia
Don Sleet,Indiana
Herman Sherman,Louisiana
Parts & Labor,New York
Kimber Rising,Tennessee
Frank Strozier,Tennessee
Marcus Strickland,Florida
Overdose,Texas
Dave Clarke,Tennessee
Sean McGrath,New Jersey
Lee Gotch,Iowa
Gravity Propulsion System,Oklahoma
Steve Swell,New Jersey
Charlie Teagarden,Texas
Pha Terrell,Missouri
Chad Taylor,Arizona
Emile Knox,Louisiana
Chi McBride,Illinois
Russell Bowles,Kentucky
Benjamin Bowman,Illinois
Phil Cook,Wisconsin
Elmer Crumbley,Oklahoma
Eddie Tompkins,Missouri
Wayman Carver,Virginia
Snub Mosley,Arkansas
Clifford Thornton,Pennsylvania
Skeets Tolbert,South Carolina
Dylan Donkin,California
Antifreeze,Wisconsin
Wilbert Tillman,Louisiana
Rob Pilatus,New York
The Sugarhill Gang,New Jersey
Gust William Tsilis,Illinois
Allan Vaché,New Jersey
Andrew Morgan,Florida
Tom Varner,New Jersey
Roland Vazquez,California
Johnny Varro,New York
Harmless Creationz,Ohio
The Cardinal Sin,Minnesota
The Ducky Boys,Massachusetts
Robbie Fulks,Pennsylvania
Brianna Wilcox,Kentucky
Chris Tomlin,Texas
Leroy Vinnegar,Indiana
Tom Warrington,Ohio
Lu Watters,California
Nasheet Waits,New York
Chugga,Tennessee
Still Life,California
Benny Waters,Maryland
Earle Warren,Ohio
James Weidman,Ohio
Marzette Watts,Alabama
Jack Wilkins,New York
Scott Wendholt,Colorado
Paul Weeden,Indiana
King Issa,North Carolina
Hank Locklin,Florida
Blake Newman,New York
Stinking Lizaveta,Pennsylvania
Pink Swords,Texas
Kudrow,New York
The Pistons,Minnesota
Stringdancer,Missouri
$1 Bin,New York
Ben Williams,"Washington, D.C."
Tom Hamilton,Colorado
Melvin Edmonds,Indiana
Albert Walters,Louisiana
Respira,California
Leo Wright,Texas
The Elastik Band,California
Sandy Williams,South Carolina
Snooky Young,Ohio
Fess Williams,Kentucky
Jimmy Woods,Missouri
Dirty,Alabama
Melissa Otero,New Jersey
Gerald Cannon,Wisconsin
Sam Yahel,Louisiana
Shadow Wilson,New York
Vito Bratta,New York
Keith Kofron,Ohio
Karen Peck and New River,Georgia
Wildstreet,New York
José Mangual Jr.,New York
Hank Duncan,Kentucky
Bennie Maupin,Michigan
Pressurehed,California
Carl Craig,Michigan
Lord Fowl,Connecticut
The Dualies,California
Jerry Gray,Massachusetts
J-Zone,New York
Molotov Lust,Kentucky
Al Hendrickson,Texas
Hymie Shertzer,New York
White Mice,Rhode Island
Gregg Smith,Texas
Bob Mitchell,Texas
3 Seagulls,Minnesota
Maurice Purtill,New York
Cliff Leeman,Maine
42 Dugg,Michigan
Verbal Seed,Texas
Mary Fettig,California
Lewis Nash,Arizona
Peter Jones,New York
Jack Lesberg,Massachusetts
Henry Coker,Texas
Armen Halburian,New York
Plas Johnson,Louisiana
MC Shy D,New York
Oscar Brashear,Illinois
Buttamusik,Pennsylvania
Wires on Fire,California
Jack Douglas,New York
Erik Lindgren,Pennsylvania
J. Spencer,California
A.I.D.S.,Indiana
SahBabii,Illinois
K-Solo,New York
Jimmy Lytell,New York
Charlotte Mattax Moersch,Texas
George Bohanon,Michigan
Bob Nell,Montana
Kankick,California
Alustrium,Pennsylvania
Shepherds,Georgia
Commonwealth Jones,Texas
SonGodSuns,California
Orville Hampton,Illinois
Cortex Angel,Kentucky
Jackie Mills,New York
Mainline,New York
Corruption Is King,Texas
Melting Euphoria,California
Burt Collins,New York
Fred Carrière,Michigan
Gene Traxler,Pennsylvania
Vitreous,Florida
My Body,Oregon
Language Room,Texas
Taana Gardner,New Jersey
Andy Simpkins,Indiana
Little Jack Melody and His Young Turks,Texas
Joe Cardamone,California
Taft Jordan,South Carolina
Roy Haynes,Massachusetts
Electric Moon,Alabama
Season Street,Washington
Peter Moon,Hawaii
Keith Secola,Minnesota
Urban Sound Gallery,Illinois
Leftover Cuties,California
Hot Nerds,California
Rev. Howard Finster,Alabama
Foreknown,Minnesota
13,Michigan
Keith Barbour,New York
Keith Bryant,Virginia
Tinfed,California
Connie Britton,Massachusetts
Keith 'Wonderboy' Johnson,New York
Allegiance,California
Child,Washington
Lammar Wright,Texas
Jerry Blake,Indiana
"Lammar Wright, Jr.",Missouri
He’s My Brother She’s My Sister,California
Enos Johnson,Tennessee
Nosvrolok,California
Donna Gartman Schultz,Louisiana
Wallace Jones,Maryland
Swingers,Pennsylvania
Steve Khan,California
Bighorn,Washington
Tony Hart,Massachusetts
Beth Lisick,California
Cecil Bridgewater,Illinois
Kriss Liss,Kentucky
Russ Rankin,California
This Cat Otis,Illinois
Tom Leadon,Minnesota
Les Burness,Connecticut
Johnny Lange,Pennsylvania
Johnny Bothwell,Indiana
Paul Bascomb,Alabama
Rob Brown,Virginia
Norris Turney,Ohio
Art Depew,Florida
African Blues,Illinois
The Love Team,New York
"William ""Billy"" Mackel",Maryland
Gary Meek,California
Tommy Campbell,Pennsylvania
Street Toyz,Texas
Lou Carter,New Jersey
Aftermath,Illinois
U.S. Christmas,North Carolina
Dave Chapman,Massachusetts
Pat Rebillot,Ohio
Don Elliott,New Jersey
Earl May,New York
Jon-Erik Kellso,Michigan
Brad Fischetti,New York
Will Kimbrough,Alabama
Bob Kitsis,Massachusetts
TK,Pennsylvania
Bellaparker,Texas
Jessie Jackson,South Carolina
J. R. Richards,California
Marc Pantillon,Texas
Charlie Gaines,Pennsylvania
Major Harris,Virginia
Toy Connor,New York
John Carter,Texas
Silver Swans,California
Look Right Penny,New York
James Apollo,Arkansas
Jacob Bancks,Minnesota
Gaither Carlton,North Carolina
Russell Gunn,Illinois
Ari Hoenig,Pennsylvania
Clifford Hayes,Kentucky
Liar’s Trial,Wisconsin
Ancestry,Illinois
Skull Kid,Pennsylvania
Shealeen Puckett,New Mexico
Rachel Schmitz,California
Clem,Pennsylvania
Rozz Williams,California
Singing City Choir of Philadelphia,Pennsylvania
Virginia Girls Choir,Virginia
Barbara Ingram,New Jersey
David Hattner,Ohio
Sarah Spencer,Florida
Eddy Malave,New York
Yppah,Texas
Richard Stancato,Illinois
Blood Stained Dusk,Alabama
Kevin Cheung,Hawaii
Aurra,Ohio
Billie,New York
Rocky Leon,California
Carla Bozulich,New York
Michael Lucarelli,Ohio
Pell Mell,Oregon
Perry Edward Scott,West Virginia
Red Rector,North Carolina
Ken McIntyre,Massachusetts
Wellman Braud,Louisiana
Lavee,Pennsylvania
Bobby Nunn,Alabama
Jay Migliori,Pennsylvania
Tar Heel Ruby,North Carolina
Darren Robinson,New York
Lex Land,California
Abe Most,New York
Jimmy Martin,Tennessee
Zombie Sundae,New York
Patrick Stolley,Iowa
Ital tha Ruffian,Pennsylvania
The Birds of Satan,California
Madddrama,Pennsylvania
Steve Nelson,New York
Santo Pecora,Louisiana
Spirit Assembly,Pennsylvania
The Man They Call Lux,Pennsylvania
Kashout,Virginia
Ruggedness,Pennsylvania
Love Cup,Illinois
Bernie Privin,New York
Wamsley,Wisconsin
Miriam Burton,New York
Mike Richmond,Pennsylvania
AC/DShe,California
Gary Panter,Oklahoma
Mike Auldridge,"Washington, D.C."
Cold Beans N' Bacon,Montana
Barbara Nissman,Pennsylvania
Mike Hoffmann,Wisconsin
The Amnesia Quartet,Arizona
John Steinbeck,California
Al Aarons,Pennsylvania
King Louie,Illinois
George Schuller,New York
David Garcia,New York
Dryer,Oregon
Dan Maines,Maryland
Master of the Ungentlemantly Art,California
Wayne Allwine,California
Bert Wilson,Indiana
The Paramours,California
Magneet Bond,California
Millvin and the Etnoids,Pennsylvania
La Migra,California
Taylor Rhodes,Tennessee
The Holloway Tape,Florida
Not Waving but Drowning,New York
Lynn Chang,Massachusetts
Stonecutters,Kentucky
Daniel Garcia,New York
Ron McGovney,California
Thom Powers,Michigan
Bion Tsang,Michigan
On the Might of Princes,New York
Rax Werx,California
Jaye P. Morgan,Colorado
Jonathan Scales,California
Bobby Prince,Tennessee
Alvin Stoller,New York
Exilia Bellaire,Michigan
Julian Sturgis,Massachusetts
James Hetfield,California
Ages Apart,Alabama
The Red Channels,Oregon
Benjamin Bagby,Illinois
Yoel,California
Technicolor Teeth,Wisconsin
Mike Lent,California
PALO!,Florida
Slavesoul,Guam
Eric Adams,New York
Cyril Touff,Illinois
Mike Grant,Michigan
Toby Emmerich,New York
Gary Geld,New Jersey
Super Hi-Five,Pennsylvania
Rising Appalachia,Louisiana
Silmaril,Wisconsin
Kurt Feldman,New York
D. DoRohn Gough,Michigan
The Frantic Flattops,New York
Superego,California
Rajiv Patel,Arizona
Jean-Paul Gaster,Maryland
Sahara,Michigan
Chloe Smith,Georgia
Modern Baseball,Pennsylvania
Mimosa,California
M-Dot,Massachusetts
Buffalo Witch,Michigan
Sebastian Marino,New York
Al Lewis,New York
Erwilian,Washington
David Warble,Indiana
Rochad Holiday,California
Michael Tarsia,Pennsylvania
George Morgan,Tennessee
Viza-Noir,Illinois
The Tree Ring,California
Hexpet,Massachusetts
The Frownies,South Carolina
Curtis “Sauce” Wilson,California
Curtis,California
Heltir,California
Kathryn Crosby,Texas
Diesel Boy,California
James Michael,Michigan
John Fiedler,Wisconsin
Bradley Kincaid,Kentucky
The Mighty Rime,Tennessee
Nitro Deluxe,Pennsylvania
Edmund Kemper,California
Hannah Marcus,New York
Greg Abate,Massachusetts
Carl Carlton,Michigan
Rob Cavestany,California
Atheist,Florida
The Mother Hips,California
Pete Candoli,Indiana
Booker Newberry III,Ohio
Jody Payne,Kentucky
Debra Killings,Georgia
The Persuaders,New York
Foreknown,Arizona
Rip Bassett,Illinois
Andy Galeon,California
Terry Snyder,New York
Eternal Chaos,New York
Ross Gorman,New Jersey
Butch Clancy,Michigan
James Chirillo,Massachusetts
The Cheepskates,New York
Buddy Christian,Louisiana
Ike Isaacs,Ohio
Reginald Veal,Illinois
Barry Keane,Pennsylvania
Iron Chic,New York
Nate Campany,Ohio
John Beasley,Louisiana
Jymie Merritt,Pennsylvania
Kelsey Wild,Illinois
Dave Burrell,Ohio
Mac Band,Michigan
Sidney De Paris,Indiana
Bill Holford,Oklahoma
Mel The Mad Scientist,California
Chad Smith,Minnesota
Korn,California
Brian Simpson,Illinois
Brett Reed,California
George Thow,Ohio
Jack Purvis,Indiana
52 Pickup,Pennsylvania
Seals & Crofts,California
Dark Mirror,Iowa
George E. Lee,Missouri
Kenny Davis,Illinois
The Originals,Michigan
Down,Louisiana
Grey Market,Ohio
Pepper Keenan,Mississippi
Jimmie Dodd,Iowa
Tamika,Virginia
Ed Mullens,Mississippi
Walter Perkins,Illinois
Andres Gill,Connecticut
Hal Smith,Michigan
Stacy Lattisaw,"Washington, D.C."
DeRay Davis,Illinois
Clint Howard,California
Chris Doherty,Massachusetts
Natalie Cole,California
John Betsch,Florida
Shirley Mathews,Texas
The Jank,California
Some By Sea,Washington
Six Appeal,Minnesota
Arnold Ross,Massachusetts
Larry Koonse,California
Kenny Sargent,Illinois
Archimedes,New York
ARMS,New York
Ken Hanna,Maryland
Alex Somers,Maryland
Cris Cab,Florida
Porlolo,Colorado
Charles Winson,Illinois
Melody Hollis,Illinois
Eric Lumiere,California
Ricky Ford,Massachusetts
Sharaya J,Hawaii
Remo Palmier,New York
Earl Gardner,New York
Dennis Mackrel,Nebraska
Greg Gisbert,Alabama
blanketarms,Illinois
Cyrus St. Clair,Massachusetts
Damon & Naomi,Massachusetts
The Building Press,Washington
Poema,New Mexico
David Garfield,Illinois
Quentin Tarantino,Tennessee
The Sour Grapes,Oregon
Jay Berliner,New York
Albino!,California
Seymour Barab,Illinois
Diahann Carroll,New York
Ben Oakland,New York
Larry Kimpel,Illinois
Steve Gilmore,New Jersey
Edmund Welles,California
Jeff Ballard,California
Junior Cook,Florida
Hello Caller,Texas
Herb Flemming,Montana
Dick Hyde,Michigan
Kent Kessler,Indiana
Keith Moseley,Oklahoma
The Mathletes,Texas
Cloud Cult,Minnesota
The So So Glos,New York
Salopecia,California
Bill Nershi,New Jersey
John Williams,Tennessee
Matthew Parmenter,Michigan
Yoron Israel,Illinois
H-Eugene,Hawaii
100%,California
Black Heart Sutra,New York
Mickey Tucker,North Carolina
Sore Losers,Texas
Steve Miller,Wisconsin
Michael Philip Mossman,Pennsylvania
Kovas,New York
Stewart Walker,North Carolina
Greg Burk,Michigan
DJ Bone,Michigan
Prison for Kids,California
Peven Everett,Illinois
The St. Valentinez,California
Cloud Nothings,Ohio
Kidd Kidd,Louisiana
Boss Hogg Outlawz,Texas
Something Else,Ohio
Gloria Ridgeway,Michigan
Allen Iverson,Virginia
Jack McVea,California
Trent Gouveia,Nevada
Mary Roach,New Hampshire
Anna Lomax Wood,New York
Bebo Norman,Georgia
Action Item,New Jersey
The Stooges,Michigan
Dani Deahl,Illinois
Richard Reicheg,New York
Craig Taborn,Minnesota
Breana Raquel,Maryland
Velma Middleton,Oklahoma
Huey “Piano” Smith,Louisiana
Pretty Lyon,New York
Mike Dirnt,California
Don Lanphere,Washington
Reggie Washington,New York
Gene A Perla,New Jersey
John Santos,California
Barrowlands,Oregon
Ian Underwood,New York
"Robert Thomas, Jr.",Florida
Chuck Israels,New York
Alan Paul,New Jersey
Jim Gilstrap,Texas
